Date,Division,Home Team,H,A,Away Team,Referee,Location,Tournament,Played,Reason
28-Mar,11.7 Boys Sat,St Pauls Artane FC,1,8,Belmont FC,,Lein Road/McAuley Park Ptch,League,Y,
28-Mar,11.9 Boys Sat,Glebe North FC,4,2,Belmont FC,,Town Park Balbriggan,League,Y,
28-Mar,12.3/4 Boys Saturday Paddy Farry Cup,Belmont FC,0,1,Leixlip United AFC,Flann Brien,Herbert Park,Cup,Y,
28-Mar,12.8 Boys Sat,Belmont FC,2,3,Kilnamanagh AFC,Flann Brien,Herbert Park,League,Y,
28-Mar,13.2 Boys Sat,Dalkey United FC,,,Belmont FC,Fatih Haracci,Hyde Park,League,N,Opposition
28-Mar,13.7 Boys Sat,Belmont FC,0,1,Ballyoulster United FC,James Merriman,Herbert Park,League,Y,
28-Mar,13.8 Boys Sat,Belmont FC,1,3,Tallaght Town AFC,James Merriman,Herbert Park,League,Y,
28-Mar,8.6 Boys Sat,Sporting Greystones FC,,,Belmont FC,,Dr Ryan Park,League,Y,
28-Mar,8.8 Boys Sat,Marks Celtic FC,,,Belmont FC,,Butler Park,League,Y,
28-Mar,9.5 Boys Sat,Belmont FC,,,Firhouse Carmel FC,,Herbert Park,League,Y,
28-Mar,9.9 Boys Sat,Sporting Greystones FC,,,Belmont FC,,Dr Ryan Park,League,Y,
